Community Area,year,month,crime_count,unemployment_rate
2.0,2025,4,461,0.04527182121719789
2.0,2025,5,126,0.033542168674698794
3.0,2020,1,241,0.048350355395212694
3.0,2020,2,262,0.03736546184738956
3.0,2020,3,190,0.05287632203867952
3.0,2020,4,203,0.035706827309236945
3.0,2020,5,210,0.04482217727404108
3.0,2020,6,273,0.04962324940558407
3.0,2020,7,292,0.056305369350254715
3.0,2020,8,281,0.0378995983935743
3.0,2020,9,265,0.03744979919678715
3.0,2020,10,296,0.046249878792940985
3.0,2020,11,209,0.03587550200803213
3.0,2020,12,230,0.03646586345381526
3.0,2021,1,256,0.043781294412349424
3.0,2021,2,186,0.0384206441032902
3.0,2021,3,223,0.054960454565180866
3.0,2021,4,250,0.0370281124497992
3.0,2021,5,266,0.046421813068386296
3.0,2021,6,261,0.03733734939759036
3.0,2021,7,303,0.03851807228915663
3.0,2021,8,312,0.038771084337349396
3.0,2021,9,300,0.058740166811517044
3.0,2021,10,308,0.03865863453815261
3.0,2021,11,307,0.03880731630287365
3.0,2021,12,253,0.037112449799196784
3.0,2022,1,256,0.037196787148594375
3.0,2022,2,229,0.05122362682337391
3.0,2022,3,290,0.051287628478194534
3.0,2022,4,276,0.05234646288271504
3.0,2022,5,281,0.038516554182445005
3.0,2022,6,395,0.04907171831840575
3.0,2022,7,364,0.04023293172690763
3.0,2022,8,393,0.04104819277108433
3.0,2022,9,407,0.04492673948459975
3.0,2022,10,384,0.040795180722891566
3.0,2022,11,315,0.03885542168674699
3.0,2022,12,290,0.04498100297068178
3.0,2023,1,366,0.04028915662650603
3.0,2023,2,311,0.052955014320611775
3.0,2023,3,339,0.03953012048192771
3.0,2023,4,357,0.04151544882393185
3.0,2023,5,386,0.05354569135908206
3.0,2023,6,421,0.041835341365461846
3.0,2023,7,456,0.04281927710843374
3.0,2023,8,436,0.0422570281124498
3.0,2023,9,455,0.05895916577930943
3.0,2023,10,429,0.042060240963855425
3.0,2023,11,320,0.03899598393574297
3.0,2023,12,333,0.039361445783132526
3.0,2024,1,319,0.03896787148594377
3.0,2024,2,317,0.0512648470767828
3.0,2024,3,357,0.054639992305847866
3.0,2024,4,377,0.04059839357429719
3.0,2024,5,662,0.048610441767068274
3.0,2024,6,838,0.05355823293172691
3.0,2024,7,831,0.053361445783132525
3.0,2024,8,809,0.0527429718875502
3.0,2024,9,844,0.05372690763052209
3.0,2024,10,737,0.05071887550200803
3.0,2024,11,671,0.054418368373264074
3.0,2024,12,651,0.04830120481927711
3.0,2025,1,592,0.05710483340920809
3.0,2025,2,584,0.059783264104431945
3.0,2025,3,604,0.05821432038244397
3.0,2025,4,696,0.04956626506024096
3.0,2025,5,178,0.03500401606425703
4.0,2020,1,159,0.049935504220707805
4.0,2020,2,135,0.03900750132115616
4.0,2020,3,137,0.04891853719430252
4.0,2020,4,138,0.05423046414189641
4.0,2020,5,134,0.04105374715639517
4.0,2020,6,155,0.0343574297188755
4.0,2020,7,194,0.05181761052469291
4.0,2020,8,187,0.035257028112449795
4.0,2020,9,181,0.046849251411656245
4.0,2020,10,179,0.035032128514056224
4.0,2020,11,125,0.0335140562248996
4.0,2020,12,158,0.05019486901568753
4.0,2021,1,150,0.034216867469879515
4.0,2021,2,114,0.03320481927710843
4.0,2021,3,131,0.03368273092369478
4.0,2021,4,141,0.03396385542168675
4.0,2021,5,137,0.04179206550512566
4.0,2021,6,149,0.03418875502008032
4.0,2021,7,126,0.033542168674698794
4.0,2021,8,127,0.03357028112449799
4.0,2021,9,161,0.034526104417670685
4.0,2021,10,197,0.03553815261044177
4.0,2021,11,129,0.05730951223258723
4.0,2021,12,142,0.033991967871485944
4.0,2022,1,134,0.03700601059174284
4.0,2022,2,96,0.04073576207157825
4.0,2022,3,148,0.034160642570281126
4.0,2022,4,141,0.05598040029801195
4.0,2022,5,174,0.04449567208559895
4.0,2022,6,161,0.034526104417670685
4.0,2022,7,175,0.03491967871485944
4.0,2022,8,208,0.04078930300418076
4.0,2022,9,207,0.05241030257559547
4.0,2022,10,205,0.03576305220883534
4.0,2022,11,167,0.03469477911646586
4.0,2022,12,204,0.03644500935537994
4.0,2023,1,195,0.038346660117841665
4.0,2023,2,155,0.0549059812429012
4.0,2023,3,162,0.03455421686746988
4.0,2023,4,153,0.034301204819277106
4.0,2023,5,184,0.03517269076305221
4.0,2023,6,190,0.045207985937152126
4.0,2023,7,178,0.03500401606425703
4.0,2023,8,179,0.035032128514056224
4.0,2023,9,189,0.04109846555731379
4.0,2023,10,213,0.03598795180722891
4.0,2023,11,212,0.04794753724604269
4.0,2023,12,205,0.03576305220883534
4.0,2024,1,163,0.034582329317269074
4.0,2024,2,166,0.04177077442493254
4.0,2024,3,176,0.03498713394412555
4.0,2024,4,182,0.036311837325003087
4.0,2024,5,276,0.03775903614457831
4.0,2024,6,299,0.04064452814977644
4.0,2024,7,347,0.039755020080321286
4.0,2024,8,340,0.05509127896370878
4.0,2024,9,351,0.03986746987951807
4.0,2024,10,388,0.04090763052208835
4.0,2024,11,316,0.03888353413654619
4.0,2024,12,269,0.037562248995983934
4.0,2025,1,316,0.03888353413654619
4.0,2025,2,262,0.054670862564373285
4.0,2025,3,266,0.03747791164658634
4.0,2025,4,405,0.0413855421686747
4.0,2025,5,56,0.049479398869905725
5.0,2020,1,109,0.04718146381699283
5.0,2020,2,104,0.04566499403245269
5.0,2020,3,94,0.04935549745819353
5.0,2020,4,94,0.032642570281124494
5.0,2020,5,70,0.03196787148594377
5.0,2020,6,79,0.032220883534136546
5.0,2020,7,96,0.03269879518072289
5.0,2020,8,96,0.03269879518072289
5.0,2020,9,108,0.03974951094860555
5.0,2020,10,87,0.03244578313253012
5.0,2020,11,115,0.03323293172690763
5.0,2020,12,104,0.034633945343145976
5.0,2021,1,100,0.032811244979919676
5.0,2021,2,56,0.03157429718875502
5.0,2021,3,75,0.0340382910647858
5.0,2021,4,66,0.05061654508526988
5.0,2021,5,83,0.054174580785498985
5.0,2021,6,80,0.03224899598393574
5.0,2021,7,81,0.032277108433734936
5.0,2021,8,90,0.03253012048192771
5.0,2021,9,100,0.03505420022875342
5.0,2021,10,112,0.03314859437751004
5.0,2021,11,92,0.032586345381526105
5.0,2021,12,93,0.05820518832018118
5.0,2022,1,86,0.03472123896293568
5.0,2022,2,82,0.042102240528336055
5.0,2022,3,102,0.03910442159667003
5.0,2022,4,97,0.032726907630522085
5.0,2022,5,102,0.04982513886290468
5.0,2022,6,123,0.041529856939206876
5.0,2022,7,124,0.05456900996260805
5.0,2022,8,120,0.03337349397590361
5.0,2022,9,128,0.03359839357429719
5.0,2022,10,122,0.042975359232171544
5.0,2022,11,130,0.03365461847389558
5.0,2022,12,163,0.0537184297169312
5.0,2023,1,112,0.03314859437751004
5.0,2023,2,106,0.03297991967871486
5.0,2023,3,144,0.03404819277108434
5.0,2023,4,135,0.03379518072289157
5.0,2023,5,99,0.04844384683217753
5.0,2023,6,150,0.05457678198822696
5.0,2023,7,132,0.052700801411238465
5.0,2023,8,129,0.048620678149508934
5.0,2023,9,130,0.04057201071712798
5.0,2023,10,132,0.033710843373493976
5.0,2023,11,117,0.046891503742363325
5.0,2023,12,110,0.05068128355078009
5.0,2024,1,84,0.05254943186932241
5.0,2024,2,96,0.03269879518072289
5.0,2024,3,110,0.033092369477911644
5.0,2024,4,99,0.047441375481414604
5.0,2024,5,200,0.05839644632097152
5.0,2024,6,286,0.03986980917271561
5.0,2024,7,227,0.04762537694296262
5.0,2024,8,245,0.03688755020080321
5.0,2024,9,251,0.05319393116974373
5.0,2024,10,243,0.04416525127748521
5.0,2024,11,229,0.03643775100401606
5.0,2024,12,227,0.03638152610441767
5.0,2025,1,176,0.03494779116465863
5.0,2025,2,149,0.03418875502008032
5.0,2025,3,188,0.035285140562249
5.0,2025,4,181,0.05921600621566471
5.0,2025,5,32,0.030899598393574295
6.0,2020,1,404,0.04579975153658532
6.0,2020,2,390,0.04096385542168675
6.0,2020,3,337,0.05922286119407788
6.0,2020,4,235,0.04731276850153077
6.0,2020,5,345,0.03969879518072289
6.0,2020,6,339,0.03953012048192771
6.0,2020,7,423,0.04189156626506024
6.0,2020,8,402,0.041301204819277106
6.0,2020,9,371,0.04042971887550201
6.0,2020,10,405,0.0413855421686747
6.0,2020,11,325,0.039136546184738955
6.0,2020,12,309,0.038686746987951805
6.0,2021,1,298,0.03837751004016064
6.0,2021,2,220,0.03618473895582329
6.0,2021,3,292,0.049590784115484315
6.0,2021,4,326,0.03916465863453815
6.0,2021,5,355,0.03997991967871486
6.0,2021,6,428,0.04233831174848884
6.0,2021,7,494,0.04388755020080321
6.0,2021,8,505,0.044196787148594374
6.0,2021,9,480,0.04349397590361446
6.0,2021,10,503,0.044140562248995985
6.0,2021,11,454,0.04276305220883534
6.0,2021,12,412,0.04682227298864699
6.0,2022,1,326,0.04817361720644525
6.0,2022,2,327,0.05393978622108389
6.0,2022,3,418,0.041751004016064255
6.0,2022,4,425,0.04194779116465863
6.0,2022,5,487,0.043690763052208835
6.0,2022,6,654,0.0483855421686747
6.0,2022,7,653,0.04835742971887551
6.0,2022,8,550,0.05219024933742169
6.0,2022,9,559,0.045714859437751006
6.0,2022,10,552,0.04551807228915662
6.0,2022,11,461,0.04295983935742972
6.0,2022,12,459,0.04290361445783132
6.0,2023,1,455,0.04279116465863454
6.0,2023,2,388,0.046381240759329825
6.0,2023,3,456,0.05111174009230848
6.0,2023,4,470,0.04321285140562249
6.0,2023,5,547,0.04537751004016064
6.0,2023,6,683,0.049200803212851404
6.0,2023,7,593,0.046670682730923695
6.0,2023,8,696,0.04956626506024096
6.0,2023,9,619,0.04740160642570281
6.0,2023,10,602,0.04692369477911647
6.0,2023,11,524,0.044730923694779115
6.0,2023,12,525,0.045069725449966784
6.0,2024,1,433,0.04217269076305221
6.0,2024,2,468,0.043156626506024094
6.0,2024,3,525,0.04475903614457832
6.0,2024,4,530,0.0448995983935743
6.0,2024,5,939,0.05639759036144579
6.0,2024,6,1480,0.07160642570281124
6.0,2024,7,1380,0.06879518072289156
6.0,2024,8,1304,0.06665863453815261
6.0,2024,9,1171,0.06291967871485944
6.0,2024,10,1117,0.06140160642570281
6.0,2024,11,1022,0.058730923694779114
6.0,2024,12,1018,0.058618473895582335
6.0,2025,1,882,0.054795180722891565
6.0,2025,2,782,0.05198393574297189
6.0,2025,3,924,0.05597590361445783
6.0,2025,4,894,0.056078418940226346
6.0,2025,5,214,0.049914037523851935
7.0,2020,1,336,0.039445783132530124
7.0,2020,2,289,0.039831552783104844
7.0,2020,3,241,0.03677510040160643
7.0,2020,4,138,0.03387951807228916
7.0,2020,5,182,0.037245985797403104
7.0,2020,6,215,0.03604417670682731
7.0,2020,7,254,0.04581006212935743
7.0,2020,8,268,0.03753413654618474
7.0,2020,9,192,0.05689065202830279
7.0,2020,10,255,0.0496969691856002
7.0,2020,11,248,0.036971887550200803
7.0,2020,12,245,0.03688755020080321
7.0,2021,1,239,0.058806458969926104
7.0,2021,2,154,0.0343293172690763
7.0,2021,3,178,0.03500401606425703
7.0,2021,4,163,0.05827588625998616
7.0,2021,5,220,0.05609983970679107
7.0,2021,6,254,0.04102241708007924
7.0,2021,7,300,0.05861253920483074
7.0,2021,8,296,0.05568256431051801
7.0,2021,9,326,0.03916465863453815
7.0,2021,10,302,0.04143727441086117
7.0,2021,11,280,0.037871485943775096
7.0,2021,12,304,0.04690450718059371
7.0,2022,1,211,0.05979833417515816
7.0,2022,2,198,0.04541870062098367
7.0,2022,3,257,0.04499949607257566
7.0,2022,4,262,0.0568895223281364
7.0,2022,5,329,0.048443449165535474
7.0,2022,6,347,0.05402216148681184
7.0,2022,7,353,0.05041545538068219
7.0,2022,8,352,0.03989558232931727
7.0,2022,9,326,0.03916465863453815
7.0,2022,10,362,0.04017670682730924
7.0,2022,11,304,0.038546184738955824
7.0,2022,12,252,0.03708433734939759
7.0,2023,1,315,0.03885542168674699
7.0,2023,2,235,0.054092374825838
7.0,2023,3,284,0.03798393574297189
7.0,2023,4,294,0.03826506024096386
7.0,2023,5,333,0.039361445783132526
7.0,2023,6,342,0.05096942682278176
7.0,2023,7,397,0.04608978444131372
7.0,2023,8,406,0.04141365461847389
7.0,2023,9,365,0.04141957171352528
7.0,2023,10,353,0.03992369477911647
7.0,2023,11,307,0.038630522088353415
7.0,2023,12,302,0.03848995983935743
7.0,2024,1,296,0.040387772319319656
7.0,2024,2,295,0.03829317269076305
7.0,2024,3,335,0.0544752661057531
7.0,2024,4,307,0.038630522088353415
7.0,2024,5,605,0.05180951096891837
7.0,2024,6,756,0.05125301204819277
7.0,2024,7,791,0.05223694779116466
7.0,2024,8,807,0.05268674698795181
7.0,2024,9,805,0.05263052208835342
7.0,2024,10,753,0.051168674698795186
7.0,2024,11,675,0.04897590361445783
7.0,2024,12,753,0.053256891156024035
7.0,2025,1,594,0.057396239760467156
7.0,2025,2,554,0.05504777357486012
7.0,2025,3,640,0.04799196787148594
7.0,2025,4,647,0.048188755020080326
7.0,2025,5,138,0.03387951807228916
8.0,2020,1,859,0.054148594377510045
8.0,2020,2,856,0.05406425702811245
8.0,2020,3,607,0.047064257028112455
8.0,2020,4,294,0.043403887572520596
8.0,2020,5,546,0.04534939759036145
8.0,2020,6,458,0.042875502008032126
8.0,2020,7,660,0.048554216867469885
8.0,2020,8,825,0.053192771084337356
8.0,2020,9,606,0.04703614457831325
8.0,2020,10,598,0.046811244979919675
8.0,2020,11,502,0.04411244979919679
8.0,2020,12,472,0.04482751138398435
8.0,2021,1,509,0.05260353872248516
8.0,2021,2,416,0.041694779116465866
8.0,2021,3,468,0.043156626506024094
8.0,2021,4,468,0.043156626506024094
8.0,2021,5,637,0.04790763052208835
8.0,2021,6,741,0.05155796183523403
8.0,2021,7,819,0.053024096385542174
8.0,2021,8,910,0.05558232931726908
8.0,2021,9,916,0.05575100401606426
8.0,2021,10,945,0.05656626506024097
8.0,2021,11,805,0.05263052208835342
8.0,2021,12,769,0.05161847389558233
8.0,2022,1,729,0.05049397590361446
8.0,2022,2,675,0.04897590361445783
8.0,2022,3,829,0.053305220883534135
8.0,2022,4,735,0.05066265060240964
8.0,2022,5,948,0.056650602409638554
8.0,2022,6,941,0.05645381526104418
8.0,2022,7,1143,0.06213253012048193
8.0,2022,8,1016,0.05856224899598394
8.0,2022,9,1002,0.05816867469879518
8.0,2022,10,909,0.05555421686746988
8.0,2022,11,900,0.05530120481927711
8.0,2022,12,812,0.05282730923694779
8.0,2023,1,909,0.05555421686746988
8.0,2023,2,819,0.053024096385542174
8.0,2023,3,943,0.05651004016064257
8.0,2023,4,848,0.053839357429718876
8.0,2023,5,893,0.055104417670682734
8.0,2023,6,868,0.05440160642570281
8.0,2023,7,1073,0.060164658634538154
8.0,2023,8,1032,0.05901204819277109
8.0,2023,9,965,0.057128514056224905
8.0,2023,10,996,0.058
8.0,2023,11,880,0.054738955823293176
8.0,2023,12,951,0.05673493975903615
8.0,2024,1,904,0.05541365461847389
8.0,2024,2,837,0.059839999830541876
8.0,2024,3,872,0.054514056224899604
8.0,2024,4,900,0.05530120481927711
8.0,2024,5,1705,0.07793172690763053
8.0,2024,6,1997,0.086140562248996
8.0,2024,7,2162,0.09077911646586345
8.0,2024,8,2081,0.08850200803212852
8.0,2024,9,1906,0.08358232931726908
8.0,2024,10,1977,0.08557831325301204
8.0,2024,11,1839,0.0816987951807229
8.0,2024,12,1628,0.07576706827309238
8.0,2025,1,1537,0.07320883534136546
8.0,2025,2,1358,0.06817670682730924
8.0,2025,3,1843,0.08181124497991968
8.0,2025,4,1699,0.07776305220883534
8.0,2025,5,364,0.04023293172690763
9.0,2020,1,13,0.04575616051239741
9.0,2020,2,19,0.030534136546184736
9.0,2020,3,24,0.03067469879518072
9.0,2020,4,13,0.059987817984571964
9.0,2020,5,13,0.030365461847389558
9.0,2020,6,20,0.031968818652320645
9.0,2020,7,19,0.05858723958286359
9.0,2020,8,23,0.030646586345381525
9.0,2020,9,16,0.0559777847537443
9.0,2020,10,30,0.0474672416249957
9.0,2020,11,29,0.03619998398967663
9.0,2020,12,47,0.05930684861211154
9.0,2021,1,24,0.0457773898985414
9.0,2021,2,16,0.05044957882207495
9.0,2021,3,13,0.030365461847389558
9.0,2021,4,13,0.03954788313049878
9.0,2021,5,21,0.030590361445783133
9.0,2021,6,20,0.04810036911750959
9.0,2021,7,28,0.04837861983540249
9.0,2021,8,27,0.032112365210802254
9.0,2021,9,19,0.05578312504476572
9.0,2021,10,20,0.034723037177567424
9.0,2021,11,26,0.04890270377678715
9.0,2021,12,21,0.050139302999090966
9.0,2022,1,28,0.049879828658555635
9.0,2022,2,18,0.03050602409638554
9.0,2022,3,23,0.03963899400556383
9.0,2022,4,22,0.05515085197956342
9.0,2022,5,20,0.03482125566350938
9.0,2022,6,24,0.03067469879518072
9.0,2022,7,27,0.03075903614457831
9.0,2022,8,32,0.030899598393574295
9.0,2022,9,19,0.05955180244170967
9.0,2022,10,42,0.054149284753793825
9.0,2022,11,29,0.050796821811268184
9.0,2022,12,19,0.059736585934736894
9.0,2023,1,22,0.05716208380839914
9.0,2023,2,16,0.03797011356394371
9.0,2023,3,22,0.04532164372272041
9.0,2023,4,31,0.030898778571152447
9.0,2023,5,28,0.03078714859437751
9.0,2023,6,24,0.03067469879518072
9.0,2023,7,21,0.042978951827022153
9.0,2023,8,18,0.033692453052069415
9.0,2023,9,21,0.030590361445783133
9.0,2023,10,25,0.03070281124497992
9.0,2023,11,39,0.05252641532619971
9.0,2023,12,26,0.0498141059391334
9.0,2024,1,21,0.030590361445783133
9.0,2024,2,34,0.05296888617629062
9.0,2024,3,25,0.036670003936454885
9.0,2024,4,17,0.05739343398272532
9.0,2024,5,31,0.04215865204716845
9.0,2024,6,51,0.04797787607128023
9.0,2024,7,62,0.0317429718875502
9.0,2024,8,68,0.031911646586345384
9.0,2024,9,46,0.03837128612203558
9.0,2024,10,37,0.03104016064257028
9.0,2024,11,27,0.03802962544808123
9.0,2024,12,43,0.03120883534136546
9.0,2025,1,51,0.03143373493975903
9.0,2025,2,36,0.031012048192771084
9.0,2025,3,76,0.05317667030344671
9.0,2025,4,52,0.05816482952525052
9.0,2025,5,10,0.051182218458623537
10.0,2020,1,45,0.03126506024096386
10.0,2020,2,87,0.03664672099282164
10.0,2020,3,61,0.055585998474533806
10.0,2020,4,37,0.0547062181524962
10.0,2020,5,72,0.03202409638554217
10.0,2020,6,100,0.032811244979919676
10.0,2020,7,108,0.03674473622647052
10.0,2020,8,99,0.03278313253012048
10.0,2020,9,77,0.03216465863453815
10.0,2020,10,94,0.032642570281124494
10.0,2020,11,106,0.04531113094214903
10.0,2020,12,147,0.05315802334511002
10.0,2021,1,144,0.044837917009948165
10.0,2021,2,85,0.05080894952453164
10.0,2021,3,91,0.04647335138300047
10.0,2021,4,89,0.05972786443814286
10.0,2021,5,105,0.032951807228915664
10.0,2021,6,130,0.041362284059611815
10.0,2021,7,106,0.04710286727947887
10.0,2021,8,78,0.03844353115855925
10.0,2021,9,91,0.05630621978950074
10.0,2021,10,99,0.03278313253012048
10.0,2021,11,88,0.03577968232138655
10.0,2021,12,96,0.05418282792533418
10.0,2022,1,57,0.04746139679241742
10.0,2022,2,71,0.04282578894511656
10.0,2022,3,115,0.0440635936583756
10.0,2022,4,92,0.032586345381526105
10.0,2022,5,106,0.03297991967871486
10.0,2022,6,128,0.03359839357429719
10.0,2022,7,95,0.03911765817618555
10.0,2022,8,118,0.05756922178632636
10.0,2022,9,113,0.04580401825088801
10.0,2022,10,137,0.05380011302941317
10.0,2022,11,107,0.03300803212851405
10.0,2022,12,135,0.037165386664057054
10.0,2023,1,106,0.0484688855209818
10.0,2023,2,91,0.03255823293172691
10.0,2023,3,97,0.03732983230438065
10.0,2023,4,99,0.03278313253012048
10.0,2023,5,100,0.032811244979919676
10.0,2023,6,107,0.05636986339474842
10.0,2023,7,115,0.05652570323509262
10.0,2023,8,107,0.03300803212851405
10.0,2023,9,97,0.03947341675621259
10.0,2023,10,135,0.03379518072289157
10.0,2023,11,131,0.03368273092369478
10.0,2023,12,97,0.032726907630522085
10.0,2024,1,99,0.03278313253012048
10.0,2024,2,118,0.03331726907630522
10.0,2024,3,89,0.038522998527158556
10.0,2024,4,122,0.03342971887550201
10.0,2024,5,181,0.03508835341365462
10.0,2024,6,213,0.03598795180722891
10.0,2024,7,233,0.03655020080321285
10.0,2024,8,221,0.03621285140562249
10.0,2024,9,206,0.035791164658634536
10.0,2024,10,205,0.05422886868326447
10.0,2024,11,174,0.05939670401365272
10.0,2024,12,170,0.03797044632842391
10.0,2025,1,170,0.05015592465117829
10.0,2025,2,150,0.034216867469879515
10.0,2025,3,216,0.05301232882311787
10.0,2025,4,179,0.035032128514056224
10.0,2025,5,44,0.03123694779116466
11.0,2020,1,83,0.03233333333333333
11.0,2020,2,74,0.03208032128514056
11.0,2020,3,68,0.052863870940210236
11.0,2020,4,63,0.031771084337349396
11.0,2020,5,53,0.04921555859992679
11.0,2020,6,84,0.03236144578313253
11.0,2020,7,80,0.03224899598393574
11.0,2020,8,90,0.059000002306257925
11.0,2020,9,85,0.03238955823293173
11.0,2020,10,86,0.05608997645751142
11.0,2020,11,109,0.03306425702811245
11.0,2020,12,124,0.0334859437751004
11.0,2021,1,93,0.05481559142589969
11.0,2021,2,62,0.0317429718875502
11.0,2021,3,64,0.03179919678714859
11.0,2021,4,70,0.05296011129614906
11.0,2021,5,53,0.035422674097490794
11.0,2021,6,76,0.032136546184738955
11.0,2021,7,71,0.03199598393574297
11.0,2021,8,73,0.032052208835341364
11.0,2021,9,88,0.04139134107767342
11.0,2021,10,80,0.03224899598393574
11.0,2021,11,60,0.03587470953536211
11.0,2021,12,56,0.03157429718875502
11.0,2022,1,65,0.04117472987821449
11.0,2022,2,73,0.032052208835341364
11.0,2022,3,80,0.04692014597063101
11.0,2022,4,69,0.03193975903614458
11.0,2022,5,96,0.03269879518072289
11.0,2022,6,87,0.03244578313253012
11.0,2022,7,110,0.03315579441248931
11.0,2022,8,113,0.033176706827309235
11.0,2022,9,91,0.03255823293172691
11.0,2022,10,110,0.033092369477911644
11.0,2022,11,84,0.05158827138140392
11.0,2022,12,107,0.03300803212851405
11.0,2023,1,99,0.03278313253012048
11.0,2023,2,72,0.05860605813367379
11.0,2023,3,98,0.04573692111099061
11.0,2023,4,85,0.03549664652397661
11.0,2023,5,92,0.05148178598727527
11.0,2023,6,121,0.033401606425702814
11.0,2023,7,102,0.03286746987951807
11.0,2023,8,115,0.03582433741534644
11.0,2023,9,89,0.04183452462494437
11.0,2023,10,96,0.03716164146323034
11.0,2023,11,88,0.033796172097962214
